RaceID,Name,Time,Gender,Age_Lower,Age_Upper,Shoes
BS18,Chase Moser,10066,M,25,34,
BS18,Tyler Burke,10064,M,18,39,
BS18,Scott Cichon,10070,M,25,34,Skechers GOmeb Speed 3
BS18,Derek Bovard,10075,M,25,34,Nike Zoom Flyknit Streak 6
BS18,Chad Sutton,10073,M,35,39,
BS18,Craig Andrews,10067,M,25,34,
BS18,Travis Chewning-Kulick,10079,M,18,39,
BS18,Felix Cancre,10060,M,25,34,Saucony kinvara 6
BS18,Philippe Cossette,10077,M,25,34,
BS18,David Freeman,10075,M,18,39,
BS18,Jim Moore,10082,M,45,49,Nike VaporFly 4%
BS18,Michael Tshudy,10039,M,18,39,
BS18,Benjamin Xie,10081,M,18,39,
BS18,Zach Seibold,10088,M,25,34,
BS18,Francesco Arato,10092,M,45,49,
BS18,Neil Martin,10099,M,40,44,Nike VaporFly 4%
BS18,Ryan Callister,10100,M,25,34,adidas ADIZERO BOSTON 6
BS18,Kevin Hankens,10101,M,35,39,
BS18,Brian Coullahan,10066,M,40,44,Nike VaporFly 4%
BS18,William Schrantz,10104,M,20,24,
BS18,Jonathan Autrey,10102,M,35,39,
BS18,Scot Allen,10107,M,35,39,Saucony Freedom
BS18,Chris Boyle,10109,M,25,34,
BS18,James Ferris,10111,M,25,34,
BS18,Sebastian Castro,10114,M,25,34,
BS18,Thomas Burns,10059,M,18,39,Nike Zoom Vaporfly
BS18,Jan Havranek,10117,M,40,44,
BS18,Francisco Jose Martin Garcia,10125,M,25,34,Nike Zoom
BS18,Todd Neer,10123,M,25,34,
BS18,Tanner Schatz,10126,M,25,34,
BS18,Evan Schindewolf,10128,M,18,39,New Balance 890 v2 (6)
BS18,Varun Pemmaraju,10131,M,25,34,Nike Zoom Vaporfly
BS18,Steven Stallis,10130,M,18,39,
BS18,Thomas Lindsey,10082,M,25,34,
BS18,Francis Nick,10131,M,25,34,Saucony Freedom
BS18,Li Yi,10138,M,45,49,Nike VaporFly 4%
BS18,Collin Buck,10120,M,18,39,Mizuno waverider
BS18,Scott Snyder,10141,M,35,39,adidas Adizero Boston 6 - MARATHON SHOES
BS18,Ryan Callister,10100,M,18,39,Nike Zoom Streak 6 Blue
BS18,Jonathan Autrey,10102,M,25,34,adidas Adizero Adios 3
BS18,Arjun Rattan,10144,M,25,34,Nike VaporFly 4%
BS18,Adam Gootnick,10141,M,25,34,
BS18,Nick Feamster,10150,M,35,39,ASICS GT-2000
BS18,Marty Robertson,10148,M,45,49,
BS18,Dan Barnes,10154,M,25,34,
BS18,Peter Birney,10156,M,35,39,Nike Pegasus 31 (blue)
BS18,Daniel Widlowski,10158,M,25,34,
BS18,Theodore Doyle,10160,M,18,39,
BS18,Patrick Burke,10113,M,25,34,
BS18,John Wedgwood,10111,M,18,39,Saucony Guide
BS18,Andrew Adam,10162,M,35,39,
BS18,Roy Gilb,10163,M,25,34,Saucony Kinvara 8
BS18,Devin Kelly,10165,M,18,39,HOKA ONE ONE Clifton 4
BS18,John Digiovanni,10162,M,40,44,Brooks Launch
BS18,Mike Macinnes,10165,M,25,34,
BS18,Trent Herzog,10159,M,18,39,Nike Lunar Tempo 2
BS18,Daniel Widtfeldt,10163,M,25,34,
BS18,Alex Macintosh,10174,M,25,34,adidas Boston III
BS18,Veronica Jackson,10181,F,18,39,
BS18,Bryan Wilson,10184,M,20,24,
BS18,Jacek Cieluszecki,10185,M,40,44,adidas Takumi Sen 3
BS18,Jp Delaney,10158,M,18,39,
BS18,J Daniel Ferguson,10187,M,18,39,
BS18,Ray Avalos,10188,M,35,39,Saucony kinvara 7
BS18,Brian Pantano,10172,M,35,39,
BS18,Grant Crist,10187,M,25,34,
BS18,Ali Faraji-Tajrishi,10193,M,25,34,New Balance 1500v4
BS18,Shiloh Schulte,10193,M,35,39,Nike Zoom Fly
BS18,Justin Grubisha,10191,M,25,34,Nike Vaporfly 4% OG
BS18,Kevin Bennett,10191,M,25,34,Mizuno Wave Inspire 14
BS18,Wyatt Pajtash,10199,M,18,39,adidas Adizero Boston
BS18,Alex Gonzales,10204,M,25,34,
BS18,Pat Johnson,10187,M,25,34,
BS18,Jordan English,10212,M,25,34,
BS18,Margaret Vido,10211,F,25,34,
BS18,Josh West,10214,M,35,39,
BS18,Kevin Bennett,10191,M,25,34,
BS18,Sebastian Castaneda,10213,M,35,39,
BS18,Wim Bracke,10221,M,18,39,Nike VaporFly 4%
BS18,Tim Gillespie,10227,M,40,44,New Balance 1400 V5
BS18,Alexander Jeffs,10223,M,20,24,
BS18,Jeff Friedman,10225,M,25,34,
BS18,Bence Kasznar,10229,M,35,39,
BS18,Crispin Flowerday,10233,M,35,39,Nike VaporFly 4%
BS18,Nick Stengl,10224,M,35,39,adidas boston 6 (white)
BS18,Till Wagner,10235,M,35,39,adidas adizero
BS18,Marc Bergman,10257,M,35,39,Mizuno Hitogami 4
BS18,Rodrigo Santos,10229,M,18,39,
BS18,Michael Creedon,10195,M,18,39,
BS18,John Bauer,10243,M,18,39,adidas adios 3 white
BS18,Craig Nale,10244,M,18,39,
BS18,Douglas Baasch,10246,M,25,34,Nike Zoom Fly
BS18,Daniel Kelley,10251,M,40,44,New Balance 1500v4
BS18,Michael Koballa,10248,M,18,39,
BS18,John Bauer,10243,M,35,39,
BS18,Jeremy Scanlan,10250,M,35,39,Altra Escalante
BS18,Alexander Jeffs,10223,M,25,34,Saucony Kinvara
BS18,Chad Boyle,10262,M,40,44,
BS18,Jean-Philippe Proulx,10257,M,25,34,Nike Vaporfly
BS18,Kieran Little,10266,M,25,34,
BS18,Eric Wyler,10265,M,18,39,
BS18,Brian Frake,10274,M,25,34,
BS18,Kyle Pochini,10272,M,25,34,
BS18,Bobby Mcdonough,10279,M,25,34,New Balance 1500v2
BS18,Timothy Clarke,10281,M,35,39,
BS18,David Sachs,10284,M,25,34,
BS18,Greg Rolfes,10278,M,25,34,
BS18,Colton Wooldridge,10287,M,18,39,
BS18,John Wierenga,10284,M,25,34,
BS18,Michael Ambrose,10295,M,25,34,Salomon Sense Ultra
BS18,Scott Richnavsky,10289,M,35,39,
BS18,Ryan Mcclay,10284,M,35,39,New Balance Zante v4 Periwinkle
BS18,Brandon Payne,10299,M,25,34,
BS18,Ryan Hadley,10298,M,18,39,
BS18,Timothy Clarke,10281,M,25,34,
BS18,Tom Gange,10304,M,35,39,Nike Streak LT
BS18,Andrew Alderson,10306,M,18,39,
BS18,Arthur Besse,10308,M,45,49,Nike ZOOM STREAK 6 BLACK
BS18,Andrew Ruiz,10280,M,25,34,ASICS DS Trainer
BS18,Marc Paulhamus,10313,M,18,39,
BS18,Mike Portman,10334,M,18,39,New Balance 1080 Prototype
BS18,Kenton Holliday,10314,M,18,39,
BS18,Adam Kobialka,10314,M,25,34,
BS18,Jason Richter,10316,M,25,34,adidas Adizero Tempo
BS18,Crow Norlander,10321,M,25,34,Saucony Kinvara 8
BS18,Kevin Beachy,10322,M,35,39,
BS18,Ben Brauer,10324,M,45,49,ASICS Nimbus
BS18,Brendan Mulvey,10322,M,25,34,
BS18,J Penny,10320,M,18,39,
BS18,Jeremy Pope,10322,M,25,34,
BS18,Alejandro Belmares,10328,M,25,34,New Balance 1400v5
BS18,Alberto Manzanares Elias,10317,M,50,54,
BS18,Christopher Pirch,10332,M,35,39,adidas Adios Boost Aktiv
BS18,Oscar Holmström,10333,M,25,34,Nike PEGASUS 34
BS18,Wade Foster,10333,M,25,34,
BS18,Kieran Condon,10335,M,40,44,
BS18,Klodian Mitri,10331,M,25,34,
BS18,Brian Fagan,10334,M,40,44,HOKA ONE ONE Cavu
BS18,Thomas Giardino,10341,M,40,44,
BS18,Robert Bond,10342,M,25,34,New Balance 1400 V5
BS18,Miguel Ramos,10342,M,25,34,
BS18,Matthew Beck,10345,M,18,39,
BS18,Adam Cantini,10345,M,18,39,
BS18,Mike Portman,10334,M,25,34,adidas Boston Bostons
BS18,Brian Solomon,10340,M,35,39,Nike LunarTempo Blue
BS18,Christopher Schwab,10350,M,25,34,
BS18,Spencer Hollander,10346,M,20,24,
